iter	RMSE
0	1.521251981
1	1.478446027
2	1.43775569
3	1.400478814
4	1.364353456
5	1.333027097
6	1.302398789
7	1.273191176
8	1.24790668
9	1.223247369
10	1.199079367
11	1.177509558
12	1.156756498
13	1.137723141
14	1.118535265
15	1.100709833
16	1.084994406
17	1.069546208
18	1.054722467
19	1.042109235
20	1.030332125
21	1.018741243
22	1.00858666
23	0.9985172041
24	0.9885259801
25	0.9798114383
26	0.971550748
27	0.9636751096
28	0.9564429614
29	0.9506941882
30	0.9449325498
31	0.9391649394
32	0.9337506415
33	0.9282321343
34	0.9234658238
35	0.918877217
36	0.9149687707
37	0.9104265951
38	0.9069592863
39	0.9032237326
40	0.899581165
41	0.8962012558
42	0.8930329663
43	0.8900741223
44	0.8881124128
45	0.8849844809
46	0.8824899245
47	0.8808637522
48	0.8784086146
49	0.8770623825
50	0.8747377353
51	0.8726833809
52	0.8709001575
53	0.8690595107
54	0.8675980376
55	0.8664890042
56	0.8655777962
57	0.8639523319
58	0.8631098311
59	0.8613299165
60	0.8605504021
61	0.8591100379
62	0.8579171402
63	0.8568413114
64	0.8556458117
65	0.8547556167
66	0.8536453467
67	0.8520596214
68	0.8511635933
69	0.8505730637
70	0.8493371465
71	0.8485101564
72	0.8480281452
73	0.8475167712
74	0.8469933014
75	0.845860202
76	0.8454948395
77	0.8446412218
78	0.843233333
79	0.8425194705
80	0.8417953406
81	0.8410285903
82	0.8403499736
83	0.8394443105
84	0.8386802189
85	0.8373795161
86	0.8371395395
87	0.8359527414
88	0.8349309178
89	0.8341186727
90	0.8334176605
91	0.8327629313
92	0.8323795242
93	0.8318075409
94	0.831156162
95	0.8304730302
96	0.830107979
97	0.8298740233
98	0.8294923433
99	0.8286495582
100	0.8280220112
101	0.8276700044
102	0.8271783639
103	0.826545928
104	0.8260304639
105	0.8254895664
106	0.8253434798
107	0.8247388139
108	0.8245037872
109	0.8239751873
110	0.8238390613
111	0.8234667242
112	0.8229031393
113	0.8225464952
114	0.8221635879
115	0.8218887661
116	0.8215068921
117	0.820631419
118	0.8202748169
119	0.8200967419
120	0.8196133609
121	0.8194088273
122	0.8191232491
123	0.8188066365
124	0.8185888803
125	0.8179822433
126	0.8176810997
127	0.8166463159
128	0.8162621015
129	0.8159927849
130	0.8158228189
131	0.8157005843
132	0.8153220531
133	0.8150042103
134	0.8143283081
135	0.814153113
136	0.8139905973
137	0.813649651
138	0.813361813
139	0.8127956356
140	0.8123843905
141	0.8121122021
142	0.8114453128
143	0.8112375187
144	0.8103628598
145	0.8101509232
146	0.8099411195
147	0.8098922881
148	0.809672142
149	0.8091235105
150	0.8089676414
151	0.8086242522
152	0.8083393084
153	0.8080686888
154	0.8075012917
155	0.8071298729
156	0.8068238089
157	0.8067604607
158	0.8065924309
159	0.8063122292
160	0.8058412045
161	0.8054512114
162	0.8052708871
163	0.8050877652
164	0.8048564598
165	0.8048442896
166	0.8043858095
167	0.8043049159
168	0.8037493104
169	0.8035196759
170	0.8028857015
171	0.8023914246
172	0.802147581
173	0.8019857756
174	0.8016581904
175	0.801409111
176	0.8011740661
177	0.8010948917
178	0.8004179958
179	0.7998269298
180	0.7996624693
181	0.7994921786
182	0.7990716544
183	0.7981903321
184	0.797829718
185	0.7970906109
186	0.7970631578
187	0.7965260342
188	0.7957968141
189	0.7951114122
190	0.7949508271
191	0.7946194914
192	0.7943662934
193	0.7939081271
194	0.7938756713
195	0.7937132453
196	0.7935521693
197	0.7933370782
198	0.7929767055
199	0.7927842746
200	0.7924995211
201	0.7919465677
202	0.7917570453
203	0.7916758392
204	0.7914293423
205	0.7913592108
206	0.7910829606
207	0.7908913485
208	0.7902313012
209	0.7898314144
210	0.7896964384
211	0.7894142233
212	0.7889466419
213	0.7887852568
214	0.7886312894
215	0.7884735349
216	0.7884444358
217	0.7882828982
218	0.7882573043
219	0.7881959698
220	0.787999511
221	0.7879827419
222	0.78796475
223	0.7878076942
224	0.7871515605
225	0.7869960795
226	0.7867932436
227	0.7865794051
228	0.7864476192
229	0.7864245243
230	0.7863981968
231	0.7862587414
232	0.7861121466
233	0.7860688117
234	0.7859258499
235	0.7857976263
236	0.7853935616
237	0.7851789227
238	0.7850487545
239	0.7849960719
240	0.7839114771
241	0.7832460935
242	0.7832097488
243	0.7831240708
244	0.7826316142
245	0.7818110413
246	0.7814394192
247	0.7814187892
248	0.7813579643
249	0.7813278548
250	0.7806003981
251	0.7805806077
252	0.7805486123
253	0.7802179743
254	0.7800233222
255	0.7797770645
256	0.7792130562
257	0.7791236987
258	0.7786420894
259	0.7782348687
260	0.7778535587
261	0.777478508
262	0.7770636047
263	0.7762134998
264	0.7759808255
265	0.7758720516
266	0.7751599999
267	0.7749084088
268	0.7746770877
269	0.7745911925
270	0.77409343
271	0.7737018284
272	0.7732076978
273	0.7731899323
274	0.773068435
275	0.7729328854
276	0.7726885417
277	0.7718520788
278	0.7718147311
279	0.771634906
280	0.7715690487
281	0.7714664222
282	0.7713313624
283	0.7707802214
284	0.7703314387
285	0.7702726172
286	0.7694801619
287	0.7690270802
288	0.7689073074
289	0.7686933007
290	0.768339425
291	0.7679989193
292	0.7679687703
293	0.7676379404
294	0.7673713677
295	0.7670772415
296	0.7669865113
297	0.7668215094
298	0.766606654
299	0.7661492364
300	0.7661019106
301	0.765746221
302	0.7656797684
303	0.7653315963
304	0.7645310244
305	0.7643342787
306	0.7639077296
307	0.7638734266
308	0.7634895206
309	0.7634278896
310	0.7631317608
311	0.762766521
312	0.7624404968
313	0.7624167926
314	0.7620958547
315	0.7617055156
316	0.761280018
317	0.7609884351
318	0.7606986271
319	0.7603042397
320	0.7600609538
321	0.7600098893
322	0.7593492896
323	0.7590383177
324	0.7587012464
325	0.7583152876
326	0.7581422422
327	0.7578176992
328	0.757675624
329	0.7574175725
330	0.7571008689
331	0.7566870534
332	0.7564216266
333	0.756098596
334	0.755682589
335	0.7555698885
336	0.755386519
337	0.7552504247
338	0.7550502205
339	0.7549142037
340	0.7548683288
341	0.7541792551
342	0.7539510946
343	0.7536446557
344	0.7534375768
345	0.7533482556
346	0.7532430461
347	0.7529409514
348	0.7526534936
349	0.7523383709
350	0.7522119205
351	0.752112891
352	0.7518125447
353	0.7515399249
354	0.7511695899
355	0.7510186134
356	0.7509093778
357	0.7508786689
358	0.7506527106
359	0.7504500815
360	0.7500327115
361	0.749634895
362	0.7493278665
363	0.7490239337
364	0.7489330904
365	0.74864849
366	0.7481116496
367	0.7477223674
368	0.7474604424
369	0.7474151273
370	0.7471811224
371	0.7467106876
372	0.7466153845
373	0.7460591811
374	0.7458262863
375	0.7455539962
376	0.74554006
377	0.7454237585
378	0.7452606856
379	0.7451464304
380	0.7446507372
381	0.7444946076
382	0.7439764885
383	0.74363661
384	0.7435511643
385	0.7432792875
386	0.7430158508
387	0.7429251345
388	0.7427512849
389	0.7424923557
390	0.742289937
391	0.7422727198
392	0.7420606006
393	0.7416486996
394	0.7412606451
395	0.7412404635
396	0.7411231171
397	0.7408852739
398	0.7403426099
399	0.7403284597
400	0.7399789081
401	0.7397683067
402	0.7397413584
403	0.7397278732
404	0.7395347256
405	0.7393771272
406	0.7393642203
407	0.7391651822
408	0.7390793907
409	0.7390671727
410	0.738847628
411	0.7387220545
412	0.7384165769
413	0.7382962742
414	0.7381348409
415	0.7380541895
416	0.737793316
417	0.7373990058
418	0.7372569206
419	0.7370021471
420	0.7366868331
421	0.7363554776
422	0.7363426097
423	0.7360686117
424	0.735832012
425	0.735551148
426	0.7353448989
427	0.73503217
428	0.7347456928
429	0.7346102519
430	0.7343476609
431	0.7341589113
432	0.7338834619
433	0.7335566782
434	0.733479458
435	0.7331984939
436	0.7330902565
437	0.7327345432
438	0.7325240982
439	0.7325125314
440	0.7323612708
441	0.7323499884
442	0.7322933255
443	0.7320204017
444	0.7316922484
445	0.7316812678
