iter	Passed	Remaining
0	2	2421
1	5	2499
2	7	2580
3	10	2652
4	13	2629
5	15	2574
6	18	2597
7	20	2564
8	23	2535
9	25	2535
10	28	2548
11	30	2547
12	33	2527
13	36	2547
14	39	2561
15	41	2534
16	43	2524
17	46	2512
18	48	2512
19	51	2502
20	53	2506
21	56	2507
22	58	2498
23	61	2493
24	63	2490
25	66	2490
26	69	2493
27	71	2491
28	74	2485
29	76	2478
30	79	2470
31	81	2465
32	84	2469
33	86	2457
34	88	2450
35	91	2440
36	93	2436
37	96	2439
38	98	2439
39	101	2436
40	103	2425
41	106	2433
42	109	2431
43	111	2427
44	114	2423
45	116	2418
46	119	2413
47	121	2407
48	124	2408
49	126	2405
50	128	2399
51	131	2392
52	133	2382
53	136	2383
54	138	2388
55	141	2393
56	144	2391
57	147	2396
58	150	2393
59	152	2392
60	155	2386
61	157	2380
62	159	2377
63	162	2375
64	164	2369
65	166	2361
66	169	2361
67	172	2362
68	175	2361
69	177	2358
70	180	2359
71	183	2359
72	185	2357
73	187	2350
74	190	2351
75	192	2345
76	195	2343
77	197	2339
78	200	2334
79	202	2332
80	205	2330
81	207	2324
82	210	2322
83	212	2316
84	215	2317
85	218	2316
86	220	2315
87	222	2310
88	225	2312
89	228	2313
90	231	2309
91	234	2310
92	236	2308
93	239	2304
94	241	2301
95	243	2296
96	247	2300
97	249	2297
98	251	2292
99	254	2288
100	257	2292
101	260	2293
102	263	2293
103	265	2289
104	267	2283
105	270	2281
106	273	2283
107	275	2277
108	277	2271
109	280	2268
110	282	2264
111	285	2261
112	287	2258
113	290	2258
114	293	2254
115	295	2252
116	298	2249
117	300	2244
118	302	2241
119	305	2239
120	307	2236
121	310	2233
122	312	2229
123	315	2227
124	317	2225
125	320	2222
126	322	2218
127	325	2214
128	328	2217
129	330	2213
130	333	2213
131	335	2208
132	338	2206
133	340	2203
134	343	2199
135	345	2194
136	348	2193
137	350	2190
138	353	2187
139	355	2184
140	358	2181
141	360	2179
142	362	2175
143	365	2173
144	368	2173
145	371	2170
146	373	2166
147	376	2164
148	378	2161
149	380	2157
150	383	2154
151	385	2150
152	388	2148
153	390	2144
154	393	2143
155	395	2138
156	397	2136
157	400	2132
158	403	2131
159	405	2128
160	407	2124
161	410	2125
162	413	2122
163	415	2120
164	417	2115
165	420	2111
166	422	2107
167	424	2103
168	426	2098
169	429	2095
170	432	2094
171	434	2092
172	436	2088
173	439	2085
174	441	2081
175	443	2077
176	446	2075
177	448	2072
178	450	2068
179	453	2066
180	456	2063
181	458	2061
182	461	2059
183	463	2056
184	466	2053
185	468	2049
186	470	2046
187	473	2043
188	475	2039
189	477	2035
190	479	2032
191	482	2029
192	484	2025
193	486	2021
194	489	2018
195	491	2015
196	493	2013
197	496	2010
198	498	2007
199	500	2002
200	503	2000
201	505	1998
202	508	1994
203	510	1991
204	513	1989
205	515	1988
206	518	1985
207	520	1981
208	522	1978
209	525	1975
210	527	1972
211	529	1969
212	532	1966
213	534	1964
214	537	1961
215	539	1959
216	542	1956
217	544	1954
218	547	1950
219	549	1947
220	552	1946
221	554	1943
222	556	1940
223	559	1937
224	561	1934
225	563	1930
226	566	1928
227	568	1924
228	570	1921
229	573	1919
230	575	1916
231	578	1914
232	580	1912
233	583	1909
234	585	1906
235	588	1904
236	590	1902
237	593	1899
238	595	1896
239	598	1894
240	600	1891
241	603	1889
242	605	1886
243	608	1883
244	610	1881
245	613	1880
246	615	1877
247	618	1874
248	620	1871
249	622	1868
250	625	1865
251	627	1863
252	629	1860
253	632	1856
254	634	1854
255	637	1851
256	639	1848
257	642	1846
258	644	1843
259	646	1841
260	649	1838
261	652	1837
262	654	1834
263	656	1831
264	659	1828
265	661	1824
266	664	1824
267	667	1822
268	670	1820
269	672	1818
270	675	1816
271	678	1815
272	680	1811
273	682	1808
274	684	1805
275	687	1802
276	689	1799
277	692	1797
278	694	1794
279	696	1791
280	699	1788
281	701	1785
282	703	1782
283	706	1780
284	708	1776
285	710	1773
286	712	1771
287	715	1768
288	717	1766
289	720	1763
290	722	1761
291	725	1758
292	727	1756
293	730	1753
294	732	1750
295	735	1748
296	737	1745
297	739	1742
298	741	1739
299	744	1736
300	746	1733
301	748	1729
302	750	1726
303	753	1724
304	755	1721
305	757	1718
306	760	1715
307	762	1712
308	764	1709
309	766	1707
310	769	1704
311	772	1702
312	774	1699
313	776	1697
